Data,Price
1552086000000,267.08
1552172400000,267.08
1552258800000,259.23
1552345200000,259.74
1552431600000,260.45
1552518000000,261.1
1552604400000,260.91
1552690800000,261.21
1552777200000,261.21
1552863600000,261.21
1552950000000,261.21
1553036400000,262.37
1553122800000,262.28
1553209200000,263.04
1553295600000,261.08
1553382000000,261.08
1553468400000,261.08
1553554800000,261.61
1553641200000,260.82
1553727600000,260.13
1553814000000,259.14
1553900400000,259.53
1553986800000,259.53
1554069600000,259.53
1554156000000,259.55
1554242400000,258.72
1554328800000,259.71
1554415200000,253.55
1554501600000,253.87
1554588000000,257.24
1554674400000,253.87
1554760800000,257.53
1554847200000,258.24
1554933600000,252.65
1555020000000,252.31
1555106400000,253.59
1555192800000,253.59
1555279200000,253.59
1555365600000,253.41
1555452000000,253.23
1555538400000,253.14
1555624800000,252
1555711200000,246.38
1555797600000,246.38
1555884000000,245.25
1555970400000,245.25
1556056800000,242.89
1556143200000,242.11
1556229600000,240.26
1556316000000,240.47
1556402400000,240.47
1556488800000,240.47
1556575200000,239.98
1556661600000,240.01
1556748000000,250.92
1556834400000,226.14
1556920800000,251.14
1557007200000,246.54
1557093600000,246.25
1557180000000,245.27
1557266400000,245.16
1557352800000,231.77
1557439200000,232.23
1557525600000,247.07
1557612000000,247.07
1557698400000,247.1
1557784800000,245.96
1557871200000,241.52
1557957600000,241.48
1558044000000,232.32
1558130400000,232.17
1558216800000,232.17
1558303200000,232.08
1558389600000,240.73
1558476000000,240.57
1558562400000,222.02
1558648800000,222.57
1558735200000,245.42
1558821600000,245.42
1558908000000,242.13
1558994400000,222.77
1559080800000,222.2
1559167200000,221.64
1559253600000,221.53
1559340000000,222.85
1559426400000,222.85
1559512800000,222.33
1559599200000,223.78
1559685600000,212.69
1559772000000,212.2
1559858400000,224.45
1559944800000,222.24
1560031200000,215.42
1560117600000,225.24
1560204000000,225.16
1560290400000,225.44
1560376800000,224.72
1560463200000,224.45
1560549600000,223.57
1560636000000,223.57
1560722400000,223.14
1560808800000,221.83
1560895200000,221.29
1560981600000,223.49
1561068000000,224.72
1561154400000,223.24
1561240800000,226.77
1561327200000,226.37
1561413600000,226.81
1561500000000,226.22
1561586400000,226.33
1561672800000,226.24
1561759200000,226.65
1561845600000,205.45
1561932000000,205.91
1562018400000,206.29
1562104800000,205.48
1562191200000,204.41
1562277600000,202.02
